"","Year_Collected","Average_Ben_Concentration","Average_Katy_Concentration","Difference"
"1","2000",0.484427099711765,0.145755882352941,0.338671217358823
"2","2001",0.542808306736364,0.0765204545454545,0.466287852190909
"3","2002",0.5651775543875,0.1208625,0.4443150543875
"4","2003",0.4378957103375,0.081075,0.3568207103375
"5","2004",0.731051180605882,0.199147058823529,0.531904121782353
"6","2005",1.2838241275625,0.492375,0.7914491275625
"7","2006",1.2198250102,0.445272727272727,0.774552282927273
"8","2007",1.46338613103333,0.556,0.907386131033333
"9","2008",1.18498549704706,0.462235294117647,0.722750202929412
"10","2010",1.18382238664118,0.479294117647059,0.704528268994118
"11","2011",1.12060534684,0.44875,0.67185534684
"12","2012",1.09215585911667,0.3835,0.708655859116667
